treatment	id	game	period	choice	other_choice	session
Control	50	10	1	c	d	contr_1
Control	50	11	1	c	c	contr_1
Control	50	12	1	c	c	contr_1
Control	50	12	2	c	c	contr_1
Control	50	13	1	c	d	contr_1
Control	50	13	2	d	c	contr_1
Control	50	14	1	c	d	contr_1
Control	50	14	2	d	d	contr_1
Control	50	14	3	d	d	contr_1
Control	50	14	4	d	d	contr_1
Control	50	15	1	c	d	contr_1
Control	50	16	1	c	d	contr_1
Control	50	16	2	d	c	contr_1
Control	50	16	3	d	c	contr_1
Control	50	16	4	d	d	contr_1
Control	50	17	1	c	c	contr_1
Control	50	17	2	c	d	contr_1
Control	50	17	3	d	d	contr_1
Control	50	17	4	d	c	contr_1
Control	50	17	5	d	c	contr_1
Control	50	17	6	d	d	contr_1
Control	50	17	7	d	d	contr_1
Control	50	17	8	d	c	contr_1
Control	50	17	9	d	c	contr_1
Control	50	17	10	d	d	contr_1
Control	50	17	11	d	d	contr_1
Control	50	18	1	c	d	contr_1
Control	50	19	1	c	d	contr_1
Control	50	19	2	d	d	contr_1
Control	50	19	3	d	d	contr_1
Control	50	19	4	d	d	contr_1
Control	50	20	1	c	d	contr_1
Control	50	21	1	c	d	contr_1
Control	50	21	2	d	d	contr_1
Control	50	22	1	c	d	contr_1
Control	50	22	2	d	c	contr_1
Control	50	22	3	d	c	contr_1
Control	50	22	4	d	d	contr_1
Control	50	22	5	d	d	contr_1
Control	50	23	1	c	d	contr_1
Control	50	23	2	d	d	contr_1
Control	50	23	3	d	d	contr_1
Control	50	24	1	c	d	contr_1
Control	50	24	2	d	c	contr_1
Control	50	24	3	d	c	contr_1
Control	50	24	4	d	d	contr_1
Control	50	24	5	d	d	contr_1
Control	50	24	6	d	d	contr_1
Control	50	25	1	d	c	contr_1
Control	50	25	2	c	c	contr_1
Control	50	25	3	c	c	contr_1
Control	50	25	4	c	c	contr_1
Control	50	25	5	c	d	contr_1
Control	50	26	1	d	c	contr_1
Control	50	27	1	d	d	contr_1
Control	50	27	2	d	d	contr_1
Control	50	27	3	d	d	contr_1
Control	50	27	4	d	d	contr_1
Control	50	27	5	d	d	contr_1
